mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
7,973,7,2,1.023738658164303,7.749663140605473e-10,mae,standard,10.203407532929205,25,0.36332831190514253,Preprocessor1_Model01
7,973,7,2,1.023738658164303,7.749663140605473e-10,rmse,standard,12.52585646200682,25,0.409230594058962,Preprocessor1_Model01
7,973,7,2,1.023738658164303,7.749663140605473e-10,rsq,standard,0.16710511250439145,25,0.03185159946982794,Preprocessor1_Model01
6,984,15,2,1.2330640570125686,7.282859514258675e-7,mae,standard,10.183059993457366,25,0.2579237224679172,Preprocessor1_Model02
6,984,15,2,1.2330640570125686,7.282859514258675e-7,rmse,standard,12.47417405176102,25,0.32421217042751926,Preprocessor1_Model02
6,984,15,2,1.2330640570125686,7.282859514258675e-7,rsq,standard,0.21869559872167058,25,0.02444036494230486,Preprocessor1_Model02
15,395,10,2,1.3728566252864067,0.06755597396891225,mae,standard,10.7420506812934,25,0.49843903495839736,Preprocessor1_Model03
15,395,10,2,1.3728566252864067,0.06755597396891225,rmse,standard,13.122738882997679,25,0.5757693847812795,Preprocessor1_Model03
15,395,10,2,1.3728566252864067,0.06755597396891225,rsq,standard,0.2330628676048069,25,0.03769015357102236,Preprocessor1_Model03
16,397,13,2,1.5524432893370244,1.7493764516583022e-7,mae,standard,11.99895861040533,25,0.43702304223403726,Preprocessor1_Model04
16,397,13,2,1.5524432893370244,1.7493764516583022e-7,rmse,standard,14.785235897581819,25,0.5230149360407379,Preprocessor1_Model04
16,397,13,2,1.5524432893370244,1.7493764516583022e-7,rsq,standard,0.17598928856977608,25,0.028059397319228796,Preprocessor1_Model04
14,454,5,3,1.0950622259577834,4.005484934644372e-5,mae,standard,9.293933516207085,25,0.40974988300382886,Preprocessor1_Model05
14,454,5,3,1.0950622259577834,4.005484934644372e-5,rmse,standard,11.520374471832477,25,0.525540916240249,Preprocessor1_Model05
14,454,5,3,1.0950622259577834,4.005484934644372e-5,rsq,standard,0.28450059459625593,25,0.03890413622506105,Preprocessor1_Model05
6,261,7,3,1.1457039046717314,0.03688911032379382,mae,standard,10.459396309547273,25,0.40722725500058443,Preprocessor1_Model06
6,261,7,3,1.1457039046717314,0.03688911032379382,rmse,standard,12.810144933239544,25,0.48475787505301104,Preprocessor1_Model06
6,261,7,3,1.1457039046717314,0.03688911032379382,rsq,standard,0.18681082803796903,25,0.029640250681472406,Preprocessor1_Model06
14,591,12,3,1.3342334277057342,30.518409928179615,mae,standard,11.45533711689506,25,0.38587591631412954,Preprocessor1_Model07
14,591,12,3,1.3342334277057342,30.518409928179615,rmse,standard,13.983267862500231,25,0.4358871041657932,Preprocessor1_Model07
14,591,12,3,1.3342334277057342,30.518409928179615,rsq,standard,0.18450036689561203,25,0.024635211863507346,Preprocessor1_Model07
7,1217,20,3,1.9799631635154233,0.21879591783860844,mae,standard,22.114843597090225,25,0.8541513104949011,Preprocessor1_Model08
7,1217,20,3,1.9799631635154233,0.21879591783860844,rmse,standard,27.788827877478177,25,1.0692351654396084,Preprocessor1_Model08
7,1217,20,3,1.9799631635154233,0.21879591783860844,rsq,standard,0.08630132022865952,25,0.016354533698301192,Preprocessor1_Model08
16,895,12,4,1.0944389781203965,0.047378739618426154,mae,standard,9.247979597028564,25,0.3752046644171928,Preprocessor1_Model09
16,895,12,4,1.0944389781203965,0.047378739618426154,rmse,standard,11.562580420176934,25,0.4269179731442917,Preprocessor1_Model09
16,895,12,4,1.0944389781203965,0.047378739618426154,rsq,standard,0.26043791755400747,25,0.03538518303709693,Preprocessor1_Model09
11,497,4,4,1.1905093816977892,1.5467791284872245,mae,standard,10.364208904027366,25,0.46700801560150057,Preprocessor1_Model10
11,497,4,4,1.1905093816977892,1.5467791284872245,rmse,standard,12.678010091546755,25,0.5667319192559347,Preprocessor1_Model10
11,497,4,4,1.1905093816977892,1.5467791284872245,rsq,standard,0.229792656781017,25,0.038213841065291736,Preprocessor1_Model10
16,1190,20,4,1.267224848807127,1.229393947264916e-10,mae,standard,9.47933870312849,25,0.3444773130442092,Preprocessor1_Model11
16,1190,20,4,1.267224848807127,1.229393947264916e-10,rmse,standard,11.858799126204884,25,0.4457907463036969,Preprocessor1_Model11
16,1190,20,4,1.267224848807127,1.229393947264916e-10,rsq,standard,0.27597181171824825,25,0.03347484526904649,Preprocessor1_Model11
6,1140,18,4,1.5416076663963216,1.97656366048246e-7,mae,standard,11.769343240755836,25,0.35271962597453826,Preprocessor1_Model12
6,1140,18,4,1.5416076663963216,1.97656366048246e-7,rmse,standard,14.373531049824187,25,0.3479108830759221,Preprocessor1_Model12
6,1140,18,4,1.5416076663963216,1.97656366048246e-7,rsq,standard,0.17400687040880142,25,0.025350746415981913,Preprocessor1_Model12
8,1494,10,4,1.8576406043377867,7.914611528406284e-5,mae,standard,17.60795313035156,25,0.6022484550767416,Preprocessor1_Model13
8,1494,10,4,1.8576406043377867,7.914611528406284e-5,rmse,standard,21.9608012708588,25,0.7861575411574706,Preprocessor1_Model13
8,1494,10,4,1.8576406043377867,7.914611528406284e-5,rsq,standard,0.11104250845855541,25,0.030992054217785746,Preprocessor1_Model13
14,1012,7,4,1.9940444430581925,0.0013880879342215958,mae,standard,24.6193143260479,25,0.8680582033206623,Preprocessor1_Model14
14,1012,7,4,1.9940444430581925,0.0013880879342215958,rmse,standard,30.546249906696204,25,1.0754536341506309,Preprocessor1_Model14
14,1012,7,4,1.9940444430581925,0.0013880879342215958,rsq,standard,0.09452403384334387,25,0.022414023427128726,Preprocessor1_Model14
6,298,10,5,1.070295484861614,7.64927505993181e-6,mae,standard,9.475585693284577,25,0.29192483613765663,Preprocessor1_Model15
6,298,10,5,1.070295484861614,7.64927505993181e-6,rmse,standard,11.767016913245259,25,0.3536910779997692,Preprocessor1_Model15
6,298,10,5,1.070295484861614,7.64927505993181e-6,rsq,standard,0.22570264233310358,25,0.03251680859922513,Preprocessor1_Model15
9,1273,4,5,1.0973214997246235,23.547089463385767,mae,standard,10.28825793094233,25,0.42757777477713155,Preprocessor1_Model16
9,1273,4,5,1.0973214997246235,23.547089463385767,rmse,standard,12.688759862671214,25,0.487308913935217,Preprocessor1_Model16
9,1273,4,5,1.0973214997246235,23.547089463385767,rsq,standard,0.2153983754793782,25,0.03520490134754098,Preprocessor1_Model16
17,261,8,5,1.1149180443348656,0.005159205348492735,mae,standard,9.955903208060981,25,0.3413770276911268,Preprocessor1_Model17
17,261,8,5,1.1149180443348656,0.005159205348492735,rmse,standard,12.107047892442967,25,0.4151525069078283,Preprocessor1_Model17
17,261,8,5,1.1149180443348656,0.005159205348492735,rsq,standard,0.21244329796956107,25,0.034417597953126135,Preprocessor1_Model17
12,1287,18,5,1.1745901134535128,1.8552983799755763e-9,mae,standard,10.02416858052214,25,0.33774227248853717,Preprocessor1_Model18
12,1287,18,5,1.1745901134535128,1.8552983799755763e-9,rmse,standard,12.337918698509823,25,0.3852450386534108,Preprocessor1_Model18
12,1287,18,5,1.1745901134535128,1.8552983799755763e-9,rsq,standard,0.19953798100298326,25,0.03462259262607433,Preprocessor1_Model18
8,1051,6,5,1.1880331782071738,2.061101297184828e-4,mae,standard,10.38260337725574,25,0.3223171034074955,Preprocessor1_Model19
8,1051,6,5,1.1880331782071738,2.061101297184828e-4,rmse,standard,12.835774985543829,25,0.37272000283678514,Preprocessor1_Model19
8,1051,6,5,1.1880331782071738,2.061101297184828e-4,rsq,standard,0.2011068276694487,25,0.026053401970314787,Preprocessor1_Model19
17,312,15,5,1.3001406104298074,2.580702181517375e-5,mae,standard,10.116459715939035,25,0.386058746095724,Preprocessor1_Model20
17,312,15,5,1.3001406104298074,2.580702181517375e-5,rmse,standard,12.458832215552757,25,0.43470677551691594,Preprocessor1_Model20
17,312,15,5,1.3001406104298074,2.580702181517375e-5,rsq,standard,0.2342476680837219,25,0.024343621879232002,Preprocessor1_Model20
6,789,6,5,1.317905533151049,0.011715982835257899,mae,standard,12.176210719680086,25,0.511862662106722,Preprocessor1_Model21
6,789,6,5,1.317905533151049,0.011715982835257899,rmse,standard,14.83402310281417,25,0.5507762586678485,Preprocessor1_Model21
6,789,6,5,1.317905533151049,0.011715982835257899,rsq,standard,0.11873818046028178,25,0.022999881169575805,Preprocessor1_Model21
11,869,2,6,1.027622911471578,3.8400749380408766e-10,mae,standard,10.052193874165514,25,0.42716686268738935,Preprocessor1_Model22
11,869,2,6,1.027622911471578,3.8400749380408766e-10,rmse,standard,12.334666144231143,25,0.502792964363978,Preprocessor1_Model22
11,869,2,6,1.027622911471578,3.8400749380408766e-10,rsq,standard,0.17618091886144552,25,0.03241112750291343,Preprocessor1_Model22
6,261,4,6,1.098452409708176,7.558532497039607e-8,mae,standard,10.587913435437516,25,0.32965095780433923,Preprocessor1_Model23
6,261,4,6,1.098452409708176,7.558532497039607e-8,rmse,standard,13.090668816552897,25,0.4026082664266742,Preprocessor1_Model23
6,261,4,6,1.098452409708176,7.558532497039607e-8,rsq,standard,0.16054344417414004,25,0.036428358479513576,Preprocessor1_Model23
10,1415,18,6,1.136514900589006,3.7304519894782724e-7,mae,standard,10.026508577386027,25,0.299252383364412,Preprocessor1_Model24
10,1415,18,6,1.136514900589006,3.7304519894782724e-7,rmse,standard,12.433331217489178,25,0.3457562841870149,Preprocessor1_Model24
10,1415,18,6,1.136514900589006,3.7304519894782724e-7,rsq,standard,0.20039758520436088,25,0.03159784794923224,Preprocessor1_Model24
9,462,16,6,1.1566698197200331,3.7616634619608478,mae,standard,9.870943532451452,25,0.33505947291896276,Preprocessor1_Model25
9,462,16,6,1.1566698197200331,3.7616634619608478,rmse,standard,12.302430041230625,25,0.4196177349868577,Preprocessor1_Model25
9,462,16,6,1.1566698197200331,3.7616634619608478,rsq,standard,0.2108723305121137,25,0.03150769756432903,Preprocessor1_Model25
15,1027,8,6,1.3030495352652571,3.2053087399998806e-6,mae,standard,10.966301533664558,25,0.3827889032356234,Preprocessor1_Model26
15,1027,8,6,1.3030495352652571,3.2053087399998806e-6,rmse,standard,13.377913358933599,25,0.4190102765509427,Preprocessor1_Model26
15,1027,8,6,1.3030495352652571,3.2053087399998806e-6,rsq,standard,0.18967122419024476,25,0.030767728173631104,Preprocessor1_Model26
14,463,7,6,1.4765889248812374,0.019160287611546367,mae,standard,12.488639649335855,25,0.48125123259087166,Preprocessor1_Model27
14,463,7,6,1.4765889248812374,0.019160287611546367,rmse,standard,15.233176836090557,25,0.5888976334570977,Preprocessor1_Model27
14,463,7,6,1.4765889248812374,0.019160287611546367,rsq,standard,0.14292955334695878,25,0.021868041614519006,Preprocessor1_Model27
14,576,15,6,1.76906897957062,0.004999801291196468,mae,standard,14.660284965849966,25,0.5495631286436127,Preprocessor1_Model28
14,576,15,6,1.76906897957062,0.004999801291196468,rmse,standard,18.22119858736146,25,0.649713163728539,Preprocessor1_Model28
14,576,15,6,1.76906897957062,0.004999801291196468,rsq,standard,0.15379365481518606,25,0.027902949879246,Preprocessor1_Model28
11,1335,4,6,1.770311082513988,0.0015856986160452007,mae,standard,16.06100472412614,25,0.7520782375224921,Preprocessor1_Model29
11,1335,4,6,1.770311082513988,0.0015856986160452007,rmse,standard,19.7716246029457,25,0.9351896461356727,Preprocessor1_Model29
11,1335,4,6,1.770311082513988,0.0015856986160452007,rsq,standard,0.12364582895650816,25,0.02621273511412319,Preprocessor1_Model29
7,344,8,6,1.7732388194671413,9.1731240628973e-5,mae,standard,17.392660890932564,25,0.6365859919556357,Preprocessor1_Model30
7,344,8,6,1.7732388194671413,9.1731240628973e-5,rmse,standard,21.449479679827444,25,0.7916028260008495,Preprocessor1_Model30
7,344,8,6,1.7732388194671413,9.1731240628973e-5,rsq,standard,0.08652574117667719,25,0.019286720878106643,Preprocessor1_Model30
